size,process_num,time
14,1,0.014529943466186523
14,2,0.008462190628051758
14,4,0.014485597610473633
14,6,0.021775007247924805
14,8,0.026871919631958008
14,10,0.03333616256713867
14,12,0.038259029388427734
14,14,0.039290666580200195
14,16,0.04423022270202637
100,1,0.006268501281738281
100,2,0.00983738899230957
100,4,0.016248464584350586
100,6,0.023698806762695312
100,8,0.027886152267456055
100,10,0.03503274917602539
100,12,0.039601802825927734
100,14,0.04139137268066406
100,16,0.04419589042663574
1000,1,0.10273957252502441
1000,2,0.059031009674072266
1000,4,0.02862238883972168
1000,6,0.029612064361572266
1000,8,0.03198981285095215
1000,10,0.04071402549743652
1000,12,0.04152035713195801
1000,14,0.04444575309753418
1000,16,0.04443097114562988
10000,1,8.249757766723633
10000,2,2.1351521015167236
10000,4,0.565739631652832
10000,6,0.296572208404541
10000,8,0.2132878303527832
10000,10,0.13871192932128906
10000,12,0.13391637802124023
10000,14,0.0922706127166748
10000,16,0.08708548545837402
10000,1,8.340616464614868
10000,2,2.056842803955078
10000,4,0.5555574893951416
10000,6,0.28905487060546875
10000,8,0.18944358825683594
10000,10,0.14506959915161133
10000,12,0.11514925956726074
10000,14,0.08896017074584961
10000,16,0.09823799133300781
