size,process_num,time
14,1,0.0070989131927490234
14,2,0.003019094467163086
14,4,0.0056989192962646484
14,6,0.008283615112304688
14,8,0.009335756301879883
14,10,0.011746406555175781
14,12,0.012616634368896484
14,14,0.014703512191772461
14,16,0.01631331443786621
100,1,0.0023164749145507812
100,2,0.0036547183990478516
100,4,0.005181312561035156
100,6,0.008025884628295898
100,8,0.008906364440917969
100,10,0.012160778045654297
100,12,0.014272928237915039
100,14,0.014951705932617188
100,16,0.016263246536254883
1000,1,0.062150001525878906
1000,2,0.019681930541992188
1000,4,0.010145425796508789
1000,6,0.010863542556762695
1000,8,0.011011600494384766
1000,10,0.013601064682006836
1000,12,0.015831947326660156
1000,14,0.015554189682006836
1000,16,0.016769886016845703
10000,1,6.618107318878174
10000,2,1.6052370071411133
10000,4,0.5812129974365234
10000,6,0.34337735176086426
10000,8,0.1716454029083252
10000,10,0.1307692527770996
10000,12,0.10878109931945801
10000,14,0.10773348808288574
10000,16,0.09789729118347168
10000,1,6.343002557754517
10000,2,1.6389200687408447
10000,4,0.42327141761779785
10000,6,0.277111291885376
10000,8,0.17637181282043457
10000,10,0.1295769214630127
10000,12,0.11730694770812988
10000,14,0.11412954330444336
10000,16,0.09586334228515625
